ID,Home,Campaign,Start_Date,Collection_Date,Group,Type,Sequenced,qPCR_plate,Season
WH077_1,WH077,Campaign 1,14/09/2023,12/10/2023,Group 4,Indoor,Panel 2,PLATE5,Autumn
WH079_1,WH079,Campaign 1,14/09/2023,12/10/2023,Group 4,Indoor,Panel 2,PLATE5,Autumn
WH078_1,WH078,Campaign 1,19/09/2023,15/10/2023,Group 4,Indoor,Panel 2,PLATE5,Autumn
WH080_1,WH080,Campaign 1,15/09/2023,15/10/2023,Group 4,Indoor,Panel 2,PLATE5,Autumn
WH081_1,WH081,Campaign 1,,,,Indoor,,PLATE5,
WH082_1,WH082,Campaign 1,20/09/2023,15/10/2023,Group 4,Indoor,Panel 2,PLATE5,Autumn
WH067_1,WH067,Campaign 1,31/10/2023,28/11/2023,Group 5,Indoor,Panel 2,PLATE4,Autumn
WH086_1,WH086,Campaign 1,31/10/2023,28/11/2023,Group 5,Indoor,Panel 2,PLATE5,Autumn
WH088_1,WH088,Campaign 1,31/10/2023,28/11/2023,Group 5,Indoor,Panel 2,PLATE6,Autumn
WH092_1,WH092,Campaign 1,02/11/2023,30/11/2023,Group 5,Indoor,Panel 2,PLATE6,Autumn
WH094_1,WH094,Campaign 1,02/11/2023,30/11/2023,Group 5,Indoor,Panel 2,PLATE6,Autumn
WH085_1,WH085,Campaign 1,03/11/2023,01/12/2023,Group 5,Indoor,Panel 2,PLATE5,Autumn
WH090_1,WH090,Campaign 1,03/11/2023,01/12/2023,Group 5,Indoor,Panel 2,PLATE6,Autumn
WH095_1,WH095,Campaign 1,03/11/2023,01/12/2023,Group 5,Indoor,Panel 2,PLATE6,Autumn
WH089_1,WH089,Campaign 1,01/11/2023,02/12/2023,Group 5,Indoor,Panel 2,PLATE6,Autumn
WH084_1,WH084,Campaign 1,06/11/2023,04/12/2023,Group 5,Indoor,Panel 2,PLATE5,Autumn
WH096_1,WH096,Campaign 1,06/11/2023,04/12/2023,Group 5,Indoor,Panel 2,PLATE6,Autumn
WH093_1,WH093,Campaign 1,07/11/2023,05/12/2023,Group 5,Indoor,Panel 2,PLATE6,Autumn
WH098_1,WH098,Campaign 1,06/11/2023,05/12/2023,Group 5,Indoor,Panel 2,PLATE6,Autumn
WH070_1,WH070,Campaign 1,07/11/2023,06/12/2023,Group 5,Indoor,Panel 2,PLATE4,Autumn
WH091_1,WH091,Campaign 1,08/11/2023,06/12/2023,Group 5,Indoor,Panel 2,PLATE6,Autumn
WH099_1,WH099,Campaign 1,08/11/2023,06/12/2023,Group 5,Indoor,Panel 2,PLATE6,Autumn
WH097_1,WH097,Campaign 1,08/11/2023,07/12/2023,Group 5,Indoor,Panel 2,PLATE6,Autumn
WH100_1,WH100,Campaign 1,,,,Indoor,,,
WH108_1,WH108,Campaign 1,11/12/2023,08/01/2024,Group 6,Indoor,Panel 2,PLATE6,Winter
WH110_1,WH110,Campaign 1,12/12/2023,09/01/2024,Group 6,Indoor,Panel 2,PLATE6,Winter
WH111_1,WH111,Campaign 1,12/12/2023,09/01/2024,Group 6,Indoor,Panel 2,PLATE6,Winter
WH102_1,WH102,Campaign 1,13/12/2023,10/01/2024,Group 6,Indoor,Panel 2,PLATE6,Winter
WH104_1,WH104,Campaign 1,11/12/2023,10/01/2024,Group 6,Indoor,Panel 2,PLATE6,Winter
WH107_1,WH107,Campaign 1,11/12/2023,10/01/2024,Group 6,Indoor,Panel 2,PLATE6,Winter
WH103_1,WH103,Campaign 1,14/12/2023,11/01/2024,Group 6,Indoor,Panel 2,PLATE6,Winter
WH112_1,WH112,Campaign 1,14/12/2023,12/01/2024,Group 6,Indoor,Panel 2,PLATE6,Winter
WH059_1,WH059,Campaign 1,14/12/2023,13/01/2024,Group 6,Indoor,Panel 2,PLATE4,Winter
WH106_1,WH106,Campaign 1,16/12/2023,13/01/2024,Group 6,Indoor,Panel 2,PLATE6,Winter
WH056_1,WH056,Campaign 1,18/12/2023,15/01/2024,Group 6,Indoor,Panel 3,PLATE5,Winter
WH109_1,WH109,Campaign 1,18/12/2023,15/01/2024,Group 6,Indoor,Panel 2,PLATE6,Winter
WH014_2,WH014,Campaign 2,18/04/2023,16/05/2023,Group 1,Indoor,Panel 1,PLATE3,Spring
WH018_2,WH018,Campaign 2,18/04/2023,16/05/2023,Group 1,Indoor,Panel 1,PLATE3,Spring
WH003_2,WH003,Campaign 2,12/06/2023,28/06/2023,Group 2,Indoor,Panel 1,PLATE3,Summer
WH001_2,WH001,Campaign 2,19/04/2023,17/05/2023,Group 1,Indoor,Panel 1,PLATE3,Spring
WH005_2,WH005,Campaign 2,20/04/2023,18/05/2023,Group 1,Indoor,Panel 1,PLATE3,Spring
WH009_2,WH009,Campaign 2,19/04/2023,19/05/2023,Group 1,Indoor,Panel 1,PLATE3,Spring
WH012_2,WH012,Campaign 2,17/04/2023,19/05/2023,Group 1,Indoor,Panel 1,PLATE3,Spring
WH002_2,WH002,Campaign 2,21/04/2023,22/05/2023,Group 1,Indoor,Panel 1,PLATE3,Spring
WH011_2,WH011,Campaign 2,26/04/2023,24/05/2023,Group 1,Indoor,Panel 1,PLATE3,Spring
WH017_2,WH017,Campaign 2,26/04/2023,24/05/2023,Group 1,Indoor,Panel 1,PLATE3,Spring
WH020_2,WH020,Campaign 2,26/04/2023,24/05/2023,Group 1,Indoor,Panel 1,PLATE3,Spring
